retyr,popID,p50,model,age,obs
2020,6,0.0801662715015854,RJC,99,1000
2020,7,1.06278608123231,RJC,99,65506.3291139241
2020,11,0.00174390886113345,RJC,99,800
2020,13,0.00435241841766128,RJC,99,3200
2020,17,0.197847402047869,RJC,99,18714.5161290323
2020,18,0.0305558139961113,RJC,99,9000
2020,6,0.442159531293459,MRJ,99,1000
2020,7,1.08460357423271,MRJ,99,65506.3291139241
2020,11,0.00189539245016465,MRJ,99,800
2020,13,0.00508487411079959,MRJ,99,3200
2020,17,0.147471905812022,MRJ,99,18714.5161290323
2020,18,0.0258928682714589,MRJ,99,9000
2020,6,0.0845142817830587,RJ1,99,1000
2020,7,0.488059536134783,RJ1,99,65506.3291139241
2020,11,8.8262892116429e-4,RJ1,99,800
2020,13,0.00343520009981361,RJ1,99,3200
2020,17,0.110342663452464,RJ1,99,18714.5161290323
2020,18,0.0430005348561682,RJ1,99,9000
2020,6,0.092026705884222,RJ2,99,1000
2020,7,0.46685838462127,RJ2,99,65506.3291139241
2020,11,8.8022699247142e-4,RJ2,99,800
2020,13,0.00325532159080128,RJ2,99,3200
2020,17,0.101435941562906,RJ2,99,18714.5161290323
2020,18,0.0324452898138412,RJ2,99,9000
2019,6,5.29987157221888,RJC,99,45168.2509426592
2019,7,6.69685420674992,RJC,99,249750.576448187
2019,11,0.00171749218265989,RJC,99,80.895778289223
2019,13,0.0957792760732946,RJC,99,3608.46390098461
2019,17,0.120229346205366,RJC,99,82580.2967363555
2019,18,0.0301084643754648,RJC,99,5227.83237223475
2019,6,3.30317842182263,MRJ,99,45168.2509426592
2019,7,6.02787605778692,MRJ,99,249750.576448187
2019,11,0.0018064769593098,MRJ,99,80.895778289223
2019,13,0.077340210933416,MRJ,99,3608.46390098461
2019,17,0.139080398396924,MRJ,99,82580.2967363555
2019,18,0.0306924180829132,MRJ,99,5227.83237223475
2019,6,0.534916012657448,RJ1,99,45168.2509426592
2019,7,2.60708253839523,RJ1,99,249750.576448187
2019,11,8.0062128761022e-4,RJ1,99,80.895778289223
2019,13,0.0255735047214799,RJ1,99,3608.46390098461
2019,17,0.111187835651764,RJ1,99,82580.2967363555
2019,18,0.0407178429381505,RJ1,99,5227.83237223475
2019,6,0.795179339604009,RJ2,99,45168.2509426592
2019,7,2.49038072950687,RJ2,99,249750.576448187
2019,11,8.1086572907792e-4,RJ2,99,80.895778289223
2019,13,0.0418889687679854,RJ2,99,3608.46390098461
2019,17,0.0859641939557949,RJ2,99,82580.2967363555
2019,18,0.0365353382134426,RJ2,99,5227.83237223475
2018,6,12.1779181400208,RJC,99,2139152.84748446
2018,7,NA,RJC,99,1601387.80609958
2018,11,0.00262760404694886,RJC,99,1435.62645750119
2018,13,0.319115645038719,RJC,99,51005.2546428026
2018,17,0.141348634818558,RJC,99,413735.326023196
2018,18,0.0245542500720932,RJC,99,27110.7997429292
2018,6,6.79981634238208,MRJ,99,2139152.84748446
2018,7,NA,MRJ,99,1601387.80609958
2018,11,0.0031699241178677,MRJ,99,1435.62645750119
2018,13,0.255583452511151,MRJ,99,51005.2546428026
2018,17,0.199001283610836,MRJ,99,413735.326023196
2018,18,0.0297460059876172,MRJ,99,27110.7997429292
2018,6,1.08014932964819,RJ1,99,2139152.84748446
2018,7,NA,RJ1,99,1601387.80609958
2018,11,0.00123759187531171,RJ1,99,1435.62645750119
2018,13,0.0756748301917113,RJ1,99,51005.2546428026
2018,17,0.135729876453467,RJ1,99,413735.326023196
2018,18,0.0302500017685179,RJ1,99,27110.7997429292
2018,6,1.6935862772063,RJ2,99,2139152.84748446
2018,7,NA,RJ2,99,1601387.80609958
2018,11,0.00146893369464802,RJ2,99,1435.62645750119
2018,13,0.139776490566821,RJ2,99,51005.2546428026
2018,17,0.112402439909045,RJ2,99,413735.326023196
2018,18,0.0331227782793108,RJ2,99,27110.7997429292
2017,6,1.78582081059517,RJC,99,143702.798507322
2017,7,NA,RJC,99,460559.340442975
2017,11,0.00870201957147819,RJC,99,840.424836478234
2017,13,0.339243240838075,RJC,99,63259.0260612482
2017,17,0.124642994569215,RJC,99,7175.44724641653
2017,18,0.0442455924245138,RJC,99,47789.6571537858
2017,6,1.65173682219671,MRJ,99,143702.798507322
2017,7,NA,MRJ,99,460559.340442975
2017,11,0.00681779367352815,MRJ,99,840.424836478234
2017,13,0.378186123696927,MRJ,99,63259.0260612482
2017,17,0.106122762857476,MRJ,99,7175.44724641653
2017,18,0.0320267357214455,MRJ,99,47789.6571537858
2017,6,0.145027284576696,RJ1,99,143702.798507322
2017,7,NA,RJ1,99,460559.340442975
2017,11,0.00237831590511463,RJ1,99,840.424836478234
2017,13,0.107570946445935,RJ1,99,63259.0260612482
2017,17,0.0627639297946914,RJ1,99,7175.44724641653
2017,18,0.031721510048412,RJ1,99,47789.6571537858
2017,6,0.565995623845304,RJ2,99,143702.798507322
2017,7,NA,RJ2,99,460559.340442975
2017,11,0.00265591623652302,RJ2,99,840.424836478234
2017,13,0.219823387077809,RJ2,99,63259.0260612482
2017,17,0.0498244996255928,RJ2,99,7175.44724641653
2017,18,0.0363650161748018,RJ2,99,47789.6571537858
2016,6,0.0723496440715953,RJC,99,4279.78895060094
2016,7,1.13298529807476,RJC,99,282997.426517841
2016,11,0.00624136885013051,RJC,99,3884.96050091435
2016,13,0.0554478176657311,RJC,99,1041.40869294575
2016,17,0.182743742733578,RJC,99,43795.7273103045
2016,18,0.040024763875192,RJC,99,78651.5524607193
2016,6,0.42209430232196,MRJ,99,4279.78895060094
2016,7,1.20400820544426,MRJ,99,282997.426517841
2016,11,0.00676681267733437,MRJ,99,3884.96050091435
2016,13,0.0825154999235037,MRJ,99,1041.40869294575
2016,17,0.129897416710052,MRJ,99,43795.7273103045
2016,18,0.0352336020588414,MRJ,99,78651.5524607193
2016,6,0.0836576959952934,RJ1,99,4279.78895060094
2016,7,0.483462693291503,RJ1,99,282997.426517841
2016,11,0.0028911663657667,RJ1,99,3884.96050091435
2016,13,0.0526018199561316,RJ1,99,1041.40869294575
2016,17,0.0816050243375017,RJ1,99,43795.7273103045
2016,18,0.0332236345356712,RJ1,99,78651.5524607193
2016,6,0.184381886993929,RJ2,99,4279.78895060094
2016,7,0.574360294457128,RJ2,99,282997.426517841
2016,11,0.00300201783750628,RJ2,99,3884.96050091435
2016,13,0.0593549978854638,RJ2,99,1041.40869294575
2016,17,0.0610531447280235,RJ2,99,43795.7273103045
2016,18,0.0409816210651881,RJ2,99,78651.5524607193
2015,6,2.05033754806737,RJC,99,66932.3201437214
2015,7,4.36702953722779,RJC,99,865233.624398603
2015,11,0.00771844235121317,RJC,99,1732.69193796162
2015,13,0.468664628473578,RJC,99,11421.0470585164
2015,17,0.0321569264774306,RJC,99,86860.9213305073
2015,18,0.028416298574121,RJC,99,54653.0747730071
2015,6,1.60623177065332,MRJ,99,66932.3201437214
2015,7,3.94184559125404,MRJ,99,865233.624398603
2015,11,0.00830633157607592,MRJ,99,1732.69193796162
2015,13,0.532573933665206,MRJ,99,11421.0470585164
2015,17,0.0457141597230027,MRJ,99,86860.9213305073
2015,18,0.0335008410007717,MRJ,99,54653.0747730071
2015,6,0.406725474452658,RJ1,99,66932.3201437214
2015,7,1.49253019483606,RJ1,99,865233.624398603
2015,11,0.00347093970798897,RJ1,99,1732.69193796162
2015,13,0.356728973227078,RJ1,99,11421.0470585164
2015,17,0.019609517176643,RJ1,99,86860.9213305073
2015,18,0.0363725554996019,RJ1,99,54653.0747730071
2015,6,0.749399410669505,RJ2,99,66932.3201437214
2015,7,2.01235217759301,RJ2,99,865233.624398603
