yr,aflow,mflow,jflow,peak,apesst,maesst,jnesst,appsst,mapsst,jnpsst,jlpsst,pdo,stn2js,stn2ja,Pink,Chum,Sockeye,Salmon_Total,Shu_fry_wt,Shu_fry_len,Que_fry_wt,Que_fry_len,GOA.SST.Sum,GOA.SST.Win,GOA.SST.Ann,NPGO.Sum,NPGO.Win,NPGO.Ann,GOA.Chl.Sum,GOA.Chl.Sum.lag1
1971,1.546733333,4.912903226,6.184,7.96,9.37,11.7,13.59,7.6,8.35,8.8,9.18,-0.266,31.45666667,31.42,159,64,35,258,NA,NA,NA,NA,9.81456793,6.153432212,7.760993008,0.33506073,-0.438000432,0.126585564,NA,NA
1972,2.319333333,5.889677419,8.434333333,10.8,8.67,11.13,13.62,7.54,8.16,8.89,9.32,-1.268,30.36833333,30.185,134,63,41,238,NA,NA,NA,NA,10.52216222,5.828467597,8.275095761,0.285837753,-0.350173927,-0.009310217,NA,NA
1973,1.095933333,3.944193548,6.827666667,7.65,7.97,10.87,13.74,7.03,7.85,8.55,9.38,-0.35,31.14833333,31.2675,228,65,46,339,NA,NA,NA,NA,9.756678808,5.959304857,7.718601106,0.664931843,0.779842527,0.798500537,NA,NA
1974,2.303666667,7.068387097,7.247666667,9.4,8.67,11.07,13.16,7.29,7.91,8.66,9.21,-1.528,30.355,30.5225,199,68,38,305,1.92,56,NA,NA,10.02649009,5.62843615,7.629603467,2.2568419,1.113429867,1.86321135,NA,NA
1975,2.346666667,4.713225806,5.668333333,6.77,9.27,11.63,14.7,7.88,8.33,9.08,9.37,1.19,31.19833333,31.3225,279,60,42,381,2.6,62,NA,NA,10.72880134,6.15708394,8.252265566,1.081795227,1.528476967,1.249270341,NA,NA
1976,1.956666667,3.954516129,5.727,6.97,9.29,11.69,15.19,8.55,9.15,10.16,10.21,0.344,30.87666667,31.295,234,62,54,350,2.91,64,9.41,92,10.43911586,5.603876393,8.158055679,0.55797851,1.104535353,0.504466636,NA,NA
1977,1.285733333,4.912580645,6.364,8.39,8.8,12.02,14.77,7.5,8.23,9.06,9.87,-0.422,31.22333333,31.445,320,64,73,457,2.95,65,4.32,74,11.61665507,6.58302734,8.85364626,-1.073985963,-0.62114414,-0.737188575,NA,NA
1978,1.760066667,5.122903226,4.904666667,6.07,9.46,12.15,14.59,8.55,8.81,9.6,9.83,0.472,31.21833333,31.3625,244,71,93,408,1.79,56,NA,NA,11.05815274,6.133451858,8.438127393,-0.918769883,-1.388875897,-0.749107276,NA,NA
1979,1.877333333,4.950322581,6.263333333,8.37,9.21,12.24,13.02,8.57,9.07,9.49,9.95,0.662,31.26166667,31.3425,298,80,76,453,2.43,61,NA,NA,11.33598683,6.142382678,8.663671792,-0.404988956,-0.53494929,-0.221840562,NA,NA
1980,1.0068,5.357096774,8.686666667,9.78,8.6,11.69,16.41,7.89,8.55,9.61,10.24,0.44,30.84333333,31.01,223,78,72,373,NA,NA,NA,NA,10.2612621,6.220208949,8.196956032,-0.638386033,-0.184069173,-0.686691381,NA,NA
1981,1.992,4.091935484,6.061666667,7.28,10.07,13.21,15.63,9.2,9.83,10.01,10.66,0.764,30.34833333,30.3075,431,80,86,597,NA,NA,4.01,71,11.1631095,6.259120112,8.767182997,-0.045177634,0.281384767,-0.092064694,NA,NA
1982,2.025,2.874193548,6.371,8.27,9.55,11.32,14.6,8.69,9.34,9.97,10.53,1.438,30.63833333,30.7425,309,92,79,480,2,57,NA,NA,11.23396247,6.724006109,8.774650573,0.507168573,-0.16404819,0.620750037,NA,NA
1983,2.0695,5.298064516,7.389666667,9.77,8.92,11.81,14.65,7.91,8.69,9.74,10.45,0.862,31.33666667,31.3325,326,107,91,524,3.57,68,NA,NA,10.5687031,6.610967579,8.7410352,-0.032992801,0.170517743,-0.393901047,NA,NA
1984,2.089333333,3.770967742,8.39,10.6,9.2,11.12,14.66,8.1,8.61,9.51,9.96,0.908,30.82,30.74,262,108,73,443,NA,NA,NA,NA,10.49462689,7.062512375,9.024938497,-0.87517878,-1.299489367,-0.732847288,NA,NA
1985,2.28,5.12483871,5.843666667,7.18,9.87,12.38,15.44,8.99,9.5,9.94,10.7,1.854,31.09666667,30.98,270,93,74,438,NA,NA,3.42,68,10.15062928,6.959422777,8.35011249,0.386701817,0.332657383,0.429174729,NA,NA
1986,2.411,5.446774194,5.942666667,7.65,9.83,12.03,15.36,8.44,9.45,10.21,10.55,1.266,31.31,31.38,212,112,61,385,2.42,61,2.67,64,10.00069605,6.043050915,7.933490041,1.620138567,0.864785787,1.323636763,NA,NA
1987,1.775733333,4.864516129,6.015,7.11,10.23,14.35,15.89,7.91,9.15,9.73,10.66,-0.65,31.29333333,31.2275,364,99,94,558,2.72,64,NA,NA,11.33652143,5.649957378,8.714128735,0.817697393,0.90987403,0.612240617,NA,NA
1988,2.996333333,5.048064516,8.761666667,10.1,10.61,13.43,15.06,8.62,9.14,10.16,11.05,-0.456,31.16666667,31.2,303,114,106,523,1.81,56,NA,NA,10.89641533,6.48022072,8.551648423,-0.218046076,-0.061326097,-0.201546121,NA,NA
1989,2.690333333,5.808387097,6.905333333,8.01,10.24,12.77,14.62,8.16,9.18,9.87,10.6,-1.574,30.57666667,30.6275,486,105,98,689,2.78,66,3.28,70,10.83965036,6.562960527,8.782275362,-0.48043838,-0.86051957,-0.498914711,NA,NA
1990,2.946333333,4.79516129,5.936,6.67,10.55,14.19,17.01,9.23,10.01,10.63,10.96,0.308,30.82833333,30.8375,277,92,103,472,2.27,60,3.49,69,11.33069595,6.473043059,8.710415111,-1.353519167,-0.05881037,-1.09491887,NA,NA
1991,1.9365,5.622903226,4.930333333,8.5,9.54,12.98,17.18,8.7,10.01,10.84,10.71,0.492,30.69,30.605,399,123,129,650,2.29,61,3.45,69,11.65245297,6.227952658,9.164267275,-1.624994,-2.2754968,-1.901992588,NA,NA
1992,3.596,5.965806452,5.957666667,7,10.43,14.05,15.58,8.72,9.57,10.36,10.5,0.982,31.16,31.275,454,137,107,699,1.49,53,NA,NA,11.67012991,7.317205805,8.92915432,-0.727166983,-1.9444107,-1.211598783,NA,NA
1993,1.898,4.449032258,5.882,6.84,10.27,14.25,16.52,8.98,9.76,10.12,10.59,-0.606,31.06166667,31.0075,435,146,109,691,NA,NA,4,72,10.65673373,6.17298411,8.456777159,-1.184481667,-1.02555351,-1.039208546,NA,NA
1994,3.077333333,4.070967742,6.75,8.1,9.65,12.19,15.69,9.2,10.01,10.27,10.99,0.446,31.18333333,31.22,424,162,91,677,2.42,62,3.58,70,11.17797585,6.520987245,8.715676529,-0.89747334,-0.49204,-0.972836612,NA,NA
1995,2.582,7.419354839,9.581666667,11.3,9.67,13.31,15.45,8.44,9.82,10.93,11.38,0.244,30.25666667,30.2525,402,133,75,610,3.2,68,NA,NA,12.28849855,6.436588662,9.229428444,-0.832194043,-1.3694127,-0.657690616,NA,0.71
1996,1.787666667,5.733870968,4.986,6.71,10.11,13.63,16,9.4,9.86,10.37,10.74,1.238,31.20333333,31.155,444,134,58,636,NA,NA,NA,NA,11.04668653,6.203436149,8.401606169,0.261613697,0.896218193,0.544553283,0.71,0.66
1997,2.386666667,5.218387097,8.907,11,9.5,12.14,14.72,7.84,8.43,9.07,9.5,-0.454,30.68833333,30.76,501,115,83,699,NA,NA,3.56,68,10.32588869,5.977445579,7.817658685,1.573303333,1.38527183,1.515780517,0.66,0.59
1998,1.977266667,4.267096774,6.743,8,10.38,11.65,14.69,8,8.84,9.5,9.88,-1.244,30.99166667,31.0425,382,114,72,568,3.49,68,3.5,69,11.22155684,5.310201088,8.415497672,1.703159467,1.5269583,1.885861292,0.59,0.8
1999,1.2157,3.617741935,5.739666667,7.14,9.32,12.23,15.45,8.08,8.84,9.52,9.57,0.266,31.48166667,31.5775,402,134,66,601,NA,NA,3.49,67,10.59915119,6.195205007,7.990367,1.9216048,2.660991533,2.080693375,0.8,0.69
2000,1.802033333,5.49483871,9.303,10.6,9.29,12.43,15.88,8.22,8.42,9.46,10.21,-0.598,30.97333333,30.9525,383,121,71,574,NA,NA,2.6,64,11.41057803,5.509391336,8.852420784,1.26651045,2.0203324,1.47359396,0.69,0.61
2001,2.057,3.699032258,6.448,7.3,9.23,8.36,16.2,8.74,9.55,10.06,10.05,1.792,31.31,31.3225,466,136,74,675,NA,NA,2.56,64,11.14079424,6.748074504,8.703332767,0.920806753,1.86609866,0.958507189,0.61,0.75
2002,2.440333333,4.390322581,5.377,6.65,11.97,14.52,17.24,8.74,9.22,9.94,10.48,0.474,31.19833333,31.3025,361,143,90,594,2.04,58,1.93,58,11.7742258,6.124945585,8.913963645,0.624475453,0.38554044,0.209460249,0.75,0.27
2003,2.368333333,5.46516129,6.105333333,7.46,10.67,12.84,16.59,8.54,9.92,10.39,10.86,0.362,30.67666667,30.605,594,131,87,813,2.33,62,3.35,68,12.13928078,7.010818222,9.325624412,-1.359126267,-1.379525917,-1.38061641,0.27,0.59
2004,1.913433333,4.470967742,5.900333333,7.19,9.48,12.63,17.1,8.35,9.07,9.98,10.43,0.088,31.11333333,31.095,344,144,89,577,NA,NA,3.95,71,10.38663946,6.488616966,8.32032277,-0.331047367,-0.989325773,-0.553872743,0.59,0.29
